id,full_name,release_count,comments_ratio,commit_frequency,core_contributors,has_ci,has_license,iac_ratio,issue_frequency,repository_size,fixing_commit_count,fixed_file_count,clean_count,defective_count
17664561,AtlasOfLivingAustralia/ala-install,2,0.1113,32.07,13,False,True,0.5084,2.19,109565,124,122,273,17
18198998,jcalazan/ansible-django-stack,2,0.0647,2.71,6,True,True,0.8077,0.91,1244,3,9,44,12
26370170,AlbanAndrieu/ansible-nabla,3,0.2434,4.89,3,True,True,0.5946,0.14,9108,6,16,203,19
190206784,vitabaks/postgresql_cluster,3,0.0833,20.41,2,True,True,0.8532,1.11,5427,16,15,180,18
121804330,ansible/workshops,4,0.0329,82.24,5,False,True,0.3081,6.24,32782,72,55,252,46
193971997,bluebanquise/bluebanquise,5,0.0796,58.76,3,True,True,0.6036,11.88,14436,108,136,596,303
115824369,florianutz/Ubuntu1604-CIS,5,0.0119,2.38,2,True,True,0.7885,0.06,4820,14,9,15,18
73192844,openstack/tripleo-quickstart-extras,5,0.0699,58.5,16,False,True,0.8161,0,14499,89,82,558,39
101707000,jmunixusers/cs-vm-build,6,0.1589,13.76,3,True,True,0.6053,0.71,2599,45,37,291,35
45436148,mrlesmithjr/ansible-manage-lvm,6,0.0751,2,3,True,False,0.5476,0.66,924,6,3,45,12
134776948,NVIDIA/deepops,6,0.033,82.86,4,False,True,0.5166,2.3,68820,66,56,1687,35
55234238,openstack/tripleo-quickstart,6,0.1266,48.66,15,False,True,0.7632,0,17330,40,35,312,9
161541176,florianutz/Ubuntu1804-CIS,7,0.0115,3.45,2,True,True,0.7885,0.52,5668,9,17,45,43
125180845,snowdrop/k8s-infra,7,0.0831,47,2,False,False,0.752,1.31,7407,60,54,432,34
48749148,antoiner77/caddy-ansible,8,0.0361,4.3,5,True,True,0.5909,0.03,454,12,15,22,27
48370306,elastic/ansible-beats,8,0.0152,2.53,4,True,True,0.6098,0.93,1099,4,6,14,10
63640766,ansible-lockdown/RHEL7-STIG,9,0.06,10.17,4,True,True,0.4167,1.26,8790,23,5,53,10
144489384,cloudalchemy/ansible-pushgateway,9,0.0396,3.92,2,True,True,0.6111,0.04,776,1,1,45,9
159518616,goodrain/rainbond-ansible,9,0.0911,34.71,5,True,True,0.7494,0.39,12944,9,9,619,13
130664395,wso2/ansible-apim,9,0.3147,6.62,4,False,True,0.6818,0.9,1751,2,9,78,20
67760353,aalaesar/install_nextcloud,10,0.0849,6.37,4,True,True,0.8448,0.54,1919,25,26,105,18
24242603,AlbanAndrieu/ansible-jenkins-slave,10,0.2325,5.11,3,True,True,0.7699,0.03,5836,33,41,174,132
65465246,anthcourtney/ansible-role-cis-amazon-linux,10,0.086,5.67,4,True,True,0.8933,1.34,5731,11,14,1765,20
100011735,freeipa/ansible-freeipa,10,0.1216,22.9,2,True,False,0.6715,6.72,37823,8,9,1192,34
91701346,stackhpc/ansible-role-os-images,10,0.1393,2.58,4,True,True,0.5556,0.1,383,3,1,12,12
114266564,oVirt/ovirt-ansible-disaster-recovery,11,0.0611,7.74,4,True,True,0.5902,0.03,2798,4,5,249,20
84809912,idealista/mysql_role,12,0.0358,2.77,4,True,True,0.7347,0.19,1267,1,1,63,9
105946365,arillso/ansible.logrotate,13,0.0707,2.42,2,True,True,0.8,0.39,289,8,4,23,15
78658768,kibatic/ansible-traefik,15,0.0462,2.02,2,True,True,0.5333,0.2,165,8,7,22,20
73430290,newrelic/infrastructure-agent-ansible,15,0.0015,2.43,6,True,True,0.5517,0.3,665,4,5,17,9
88211051,redhat-cop/infra-ansible,16,0.0478,9.2,4,True,True,0.7191,2.26,20001,52,94,9714,343
124432181,redhat-cop/openshift-applier,17,0.0441,3.61,5,True,True,0.6279,6.5,2124,7,10,264,49
23215874,oravirt/ansible-oracle,19,0.1782,9.11,2,False,True,0.8942,0.49,7565,18,12,806,32
68048671,lae/ansible-role-proxmox,20,0.0526,5.68,2,True,True,0.5625,1.04,2541,13,8,180,21
31433462,nusenu/ansible-relayor,20,0.1145,6.58,2,True,True,0.75,0.82,1461,21,13,143,30
82108875,redhat-nfvpe/kube-ansible,20,0.069,9.63,5,True,True,0.7816,4.29,2023,11,9,537,53
47439383,rocknsm/rock,20,0.1158,13.32,5,True,True,0.6056,3.48,5405,58,78,675,154
148547478,splunk/splunk-ansible,20,0.0511,50.81,5,False,False,0.7978,1.27,10194,80,108,1653,257
18694239,DavidWittman/ansible-redis,21,0.0571,3.92,5,True,True,0.7,1.39,1156,6,6,124,47
38866407,HanXHX/ansible-debian-bootstrap,21,0.0788,2.81,2,True,True,0.7778,0.15,713,11,12,158,23
35729277,sensu/sensu-ansible,21,0.0425,8.77,4,True,True,0.7903,0.23,3781,12,26,421,191
18852165,roots/trellis,22,0.0587,19.09,4,True,True,0.7232,2.52,3880,49,48,1066,132
45902662,fgci-org/ansible-role-cuda,23,0.2996,2.46,4,True,True,0.8485,0.05,374,4,4,26,10
81999200,naftulikay/ansible-role-degoss,23,0.1792,2.16,2,True,True,0.3429,0.16,1150,5,4,37,22
70272278,redhat-cop/casl-ansible,23,0.1846,7.2,6,False,True,0.7106,6.53,8359,26,34,1745,113
88057051,ReSearchITEng/kubeadm-playbook,23,0.2606,9.83,2,True,True,0.8061,0.77,3567,9,6,354,11
64398826,CoffeeITWorks/ansible_burp2_server,24,0.2008,7.27,2,True,True,0.5784,0.67,1672,31,17,185,86
96306635,UtrechtUniversity/yoda,24,0.0537,40.39,2,True,True,0.49,0.12,10775,91,75,284,54
23397594,Graylog2/graylog-ansible-role,26,0.0356,4.35,4,True,True,0.7059,0.25,1111,13,11,56,15
34840276,elastic/ansible-elasticsearch,27,0.0315,15.88,6,True,True,0.5714,0.99,3169,61,59,468,151
17628006,ANXS/postgresql,29,0.2032,6.51,14,True,True,0.6709,5,1345,20,16,169,222
20684278,DataDog/ansible-datadog,29,0.0517,4.1,9,False,True,0.7544,1.17,1781,14,9,203,67
103666308,pulp/pulp_installer,29,0.0883,23.13,7,True,True,0.6699,1.89,7097,63,59,1360,204
23633237,galaxyproject/ansible-galaxy,30,0.1107,2.93,6,True,False,0.7857,0.15,1310,10,16,275,111
41636424,netbootxyz/netboot.xyz,30,0.0109,33.87,4,True,True,0.8239,0.76,3253,3,4,166,23
55089698,caktus/tequila-django,31,0.1319,4.93,5,False,True,0.5,0.07,882,11,7,78,24
24493024,liip/drifter,32,0.0861,13.03,6,False,True,0.687,0.68,3735,38,42,2703,162
85245901,wazuh/wazuh-ansible,32,0.0592,33.36,8,True,True,0.8402,1.66,6360,98,75,1415,176
42512164,CSCfi/ansible-role-users,33,0.2481,2.54,6,True,True,0.375,0.06,588,9,1,29,29
39130147,HanXHX/ansible-nginx,33,0.0573,5.47,2,True,True,0.7414,0.24,1745,21,17,132,85
51141789,openwisp/ansible-openwisp2,33,0.0789,6.36,3,True,True,0.6222,3.14,1494,7,7,339,93
142121821,oVirt/ovirt-ansible-hosted-engine-setup,33,0.0342,15.15,3,False,True,0.7529,1.96,3781,12,14,1198,99
45568524,stackbuilders/sb-debian-base,33,0.0096,3.08,4,True,True,0.6176,0.33,930,12,13,241,27
24197449,plone/ansible-playbook,34,0.0973,8.06,2,False,False,0.6,0.77,3982,7,4,661,34
19408536,rvm/rvm1-ansible,34,0.0627,3.23,6,True,True,0.3548,1.95,732,16,8,43,39
61397627,tenforwardconsulting/subspace,34,0.089,6.19,3,True,True,0.4876,0.13,3509,12,12,2544,120
112223046,cloudalchemy/ansible-blackbox-exporter,36,0.0905,4.48,3,True,True,0.6111,0.11,804,3,2,54,27
173498378,PyratLabs/ansible-role-k3s,36,0.0504,7.95,2,True,True,0.8617,0.95,1998,17,14,1691,281
28204193,willshersystems/ansible-sshd,36,0.0479,4.35,6,True,True,0.8095,0.1,1351,4,2,28,41
35403824,StackStorm/ansible-st2,39,0.058,13.5,6,True,True,0.9057,1.94,2487,59,61,1970,138
30925564,UnderGreen/ansible-role-mongodb,39,0.079,6.15,10,True,True,0.62,0.61,1738,44,29,179,177
112915877,ansible-ThoTeam/nexus3-oss,41,0.0897,11.08,2,True,True,0.4778,1.92,5336,25,12,1318,133
22950800,ansistrano/deploy,41,0.0479,7.5,8,True,True,0.7273,0.08,1371,20,16,666,162
82927988,viasite-ansible/ansible-role-zsh,42,0.0378,3.36,2,True,False,0.72,0.22,866,24,17,132,75
41480840,evrardjp/ansible-keepalived,43,0.4578,3.02,7,True,True,0.7143,0.03,694,5,4,181,66
65276738,riemers/ansible-gitlab-runner,43,0.0592,4.16,18,True,True,0.8864,0.75,2336,24,25,703,216
40538342,gluster/gdeploy,46,0.1125,20.33,3,False,True,0.3228,0.87,9596,33,34,2294,133
41423976,Oefenweb/ansible-percona-server,55,0.0333,2.12,2,True,True,0.7333,0.06,930,3,4,350,31
32947512,Oefenweb/ansible-supervisor,55,0.0434,2.31,3,True,True,0.75,0.07,485,2,2,36,11
