id,full_name,comments_ratio,commit_frequency,core_contributors,has_ci,has_license,iac_ratio,issue_frequency,release_count,repository_size
115332911,030/ansible-firefox,0.0097,4.5,2,True,True,0.6667,0.09,28,204
220052293,0x0I/ansible-role-systemd,0.0165,8.42,2,True,False,0.5833,0,2,654
95256054,2kloc/trellis-monit,0.1495,0.19,1,False,True,0.6364,0,3,182
183639968,45Drives/ceph-ansible-45d,0.1628,3.58,1,True,True,0.5239,0,10,21183
67899878,aabouzaid/netbox-as-ansible-inventory,0.3329,6.41,1,True,False,0.125,0.44,7,543
67760353,aalaesar/install_nextcloud,0.0849,6.37,4,True,True,0.8448,0.5,10,1919
172489153,Aaron-K-T-Berry/generator-ansible-molecule,0.0427,22.85,3,False,False,0.4468,0,8,1884
170849541,abims-sbr/ansible-singularity,0.1277,2.59,3,True,True,0.6,0,4,287
24246220,adammck/terraform-inventory,0.1216,2.13,2,True,True,0.08,1.01,13,961
143028453,admpresales/nimbusserver-ansible,0.034,10.2,3,False,False,0.0417,0.13,2,965
168430474,adobe/ops-cli,0.2909,8.12,4,True,True,0.27,0,48,6359
40627726,adriagalin/ansible.motd,0.0312,0.64,1,True,True,0.4615,0,4,186
147365729,aeimer/ansible-install-bat,0.1011,0,1,True,True,0.8,0,2,169
35598732,AerisCloud/ansible-disk,0.0181,0.75,7,False,True,0.5,0,13,326
25811974,agoravoting/agora-dev-box,0.408,8.44,4,False,True,0.4415,0.26,14,7676
55140413,ahelal/ansible-concourse,0.0414,4.81,2,True,True,0.4691,0,61,2314
50736990,ahuffman/ansible-sudoers,0.0189,1.36,6,False,True,0.5714,0.02,11,570
143216138,ahuffman/sat6-create-hosts,0.0985,3.67,1,False,True,0.8182,0.16,9,705
47362790,akondas/ansible-role-php7,0,1.72,2,False,True,0.7778,0.21,10,229
28919210,AlbanAndrieu/ansible-awstats,0.1322,0.24,2,True,True,0.65,0,2,210
26262770,AlbanAndrieu/ansible-common,0.1385,1.16,2,True,True,0.619,0,4,479
