comments_ratio,commit_frequency,core_contributors,fixed_file_count,fixing_commit_count,full_name,has_ci,has_license,iac_ratio,id,issue_frequency,release_count,repository_size
0.0697,156.77,27,428,361,openstack/kolla-ansible,False,True,0.9066,73831397,0,0,56259
0.0662,112.43,17,298,271,redhat-openstack/infrared,False,True,0.825,51534449,1.26,0,45420
0.1479,66.79,7,286,303,ceph/ceph-ansible,True,True,0.445,17373313,4.22,0,24629
0.0796,58.76,3,150,118,bluebanquise/bluebanquise,True,True,0.6036,193971997,11.88,0,14436
0.104,80.17,5,147,118,CentOS-PaaS-SIG/linchpin,True,True,0.3756,60802750,4.58,0,41596
0.1267,90.79,16,141,134,openstack/openstack-ansible,False,True,0.7974,27195864,0,0,45852
0.0453,84.07,15,132,100,integr8ly/installation,True,False,0.9134,142424316,23.96,0,9493
0.1113,32.07,13,129,134,AtlasOfLivingAustralia/ala-install,False,True,0.5084,17664561,2.19,0,109565
0.0511,50.81,5,112,90,splunk/splunk-ansible,False,False,0.7978,148547478,1.27,0,10194
0.0478,9.2,4,109,57,redhat-cop/infra-ansible,True,True,0.7191,88211051,2.26,0,20001
0.0699,58.5,16,82,94,openstack/tripleo-quickstart-extras,False,True,0.8161,73192844,0,0,14499
0.0275,48.06,5,82,66,OpenConext/OpenConext-deploy,True,True,0.7537,24183121,0.04,0,10691
0.0592,33.36,8,81,124,wazuh/wazuh-ansible,True,True,0.8402,85245901,1.66,0,6360
0.1158,13.32,5,78,62,rocknsm/rock,True,True,0.6056,47439383,3.48,0,5405
0.0537,40.39,2,75,95,UtrechtUniversity/yoda,True,True,0.49,96306635,0.12,0,10775
0.0928,863.88,2,70,102,PGBlitz/PGBlitz.com,False,True,0.1864,250416150,0,0,6937
0.0883,23.13,7,68,68,pulp/pulp_installer,True,True,0.6699,103666308,1.89,0,7097
0.058,13.5,6,67,67,StackStorm/ansible-st2,True,True,0.9057,35403824,1.94,0,2487
0.0315,15.88,6,60,65,elastic/ansible-elasticsearch,True,True,0.5714,34840276,0.99,0,3169
0.0587,19.09,4,58,56,roots/trellis,True,True,0.7232,18852165,2.52,0,3880
0.0329,82.24,5,58,83,ansible/workshops,False,True,0.3081,121804330,6.24,0,32782
0.033,82.86,4,56,70,NVIDIA/deepops,False,True,0.5166,134776948,2.3,0,68820
0.0831,47,2,55,65,snowdrop/k8s-infra,False,False,0.752,125180845,1.31,0,7407
0.1121,36.53,2,53,85,automium/service-kubernetes,False,True,0.7204,179678808,0.25,0,2908
0.0425,8.77,4,53,14,sensu/sensu-ansible,True,True,0.7903,35729277,0.23,0,3781
0.2325,5.11,3,49,33,AlbanAndrieu/ansible-jenkins-slave,True,True,0.7699,24242603,0.03,0,5836
0.0861,13.03,6,42,40,liip/drifter,False,True,0.687,24493024,0.68,0,3735
0.1125,20.33,3,39,36,gluster/gdeploy,False,True,0.3228,40538342,0.87,0,9596
0.0051,7,3,38,31,kairen/kube-ansible,True,True,0.8945,76637791,0.26,0,13597
0.1589,13.76,3,37,49,jmunixusers/cs-vm-build,True,True,0.6053,101707000,0.71,0,2599
0.0937,15.67,5,36,56,openfoodfoundation/ofn-install,True,False,0.8042,19954737,1.84,0,3038
