additions,additions_avg,additions_max,avg_play_size,avg_task_size,change_set_avg,change_set_max,code_churn_avg,code_churn_count,code_churn_max,commit,commits_count,committed_at,contributors_count,deletions,deletions_avg,deletions_max,failure_prone,filepath,highest_contributor_experience,hunks_median,lines_blank,lines_code,lines_comment,minor_contributors_count,num_authorized_key,num_block_error_handling,num_blocks,num_commands,num_conditions,num_decisions,num_deprecated_keywords,num_deprecated_modules,num_distinct_modules,num_external_modules,num_fact_modules,num_file_exists,num_file_mode,num_file_modules,num_filters,num_ignore_errors,num_import_playbook,num_import_role,num_import_tasks,num_include,num_include_role,num_include_tasks,num_include_vars,num_keys,num_lookups,num_loops,num_math_operations,num_names_with_vars,num_parameters,num_paths,num_plays,num_prompts,num_regex,num_roles,num_suspicious_comments,num_tasks,num_tokens,num_unique_names,num_uri,num_vars,text_entropy
,,,4.0,0.0,2.0,2.0,,,,212a286d3ecebc4df906c7d550cd7f34819b7cea,,2017-11-28 17:42:02+01:00,,,,,0.0,playbooks/jdiskreport.yml,,,2.0,5.0,3.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,8.0,1.0,0.0,0.0,3.0
,,,6.0,2.0,2.0,2.0,,,,212a286d3ecebc4df906c7d550cd7f34819b7cea,,2017-11-28 17:42:02+01:00,,,,,0.0,playbooks/grive.yml,,,5.0,25.0,3.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,3.0,72.0,4.0,0.0,0.0,5.37
,,,6.0,3.0,2.0,2.0,,,,212a286d3ecebc4df906c7d550cd7f34819b7cea,,2017-11-28 17:42:02+01:00,,,,,0.0,playbooks/virtualbox.yml,,,6.0,26.0,4.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,3.0,79.0,4.0,0.0,2.0,5.51
,,,8.0,3.0,2.0,2.0,,,,212a286d3ecebc4df906c7d550cd7f34819b7cea,,2017-11-28 17:42:02+01:00,,,,,0.0,playbooks/subversion.yml,,,6.0,35.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,3.0,104.0,4.0,0.0,10.0,5.95
1.0,1.0,1.0,7.0,3.0,2.0,2.0,0.0,0.0,0.0,212a286d3ecebc4df906c7d550cd7f34819b7cea,1.0,2017-11-28 17:42:02+01:00,1.0,1.0,1.0,1.0,0.0,playbooks/nabla.yml,100.0,1.0,101.0,259.0,340.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,231.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,30.0,3.0,5.0,579.0,37.0,0.0,42.0,6.81
,,,15.0,4.0,2.0,2.0,,,,212a286d3ecebc4df906c7d550cd7f34819b7cea,,2017-11-28 17:42:02+01:00,,,,,0.0,playbooks/certificate.yml,,,34.0,131.0,38.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,0.0,1.0,0.0,0.0,3.0,2.0,9.0,0.0,0.0,3.0,1.0,7.0,378.0,15.0,0.0,0.0,6.67
,,,16.0,0.0,2.0,2.0,,,,212a286d3ecebc4df906c7d550cd7f34819b7cea,,2017-11-28 17:42:02+01:00,,,,,0.0,playbooks/mon.yml,,,3.0,16.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,30.0,1.0,0.0,10.0,4.77
,,,8.0,3.0,2.0,2.0,,,,212a286d3ecebc4df906c7d550cd7f34819b7cea,,2017-11-28 17:42:02+01:00,,,,,1.0,playbooks/lamp.yml,,,14.0,47.0,48.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,4.0,0.0,3.0,129.0,6.0,0.0,9.0,6.05
,,,14.0,3.0,2.0,2.0,,,,212a286d3ecebc4df906c7d550cd7f34819b7cea,,2017-11-28 17:42:02+01:00,,,,,0.0,playbooks/logstash.yml,,,12.0,70.0,39.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,3.0,173.0,5.0,0.0,40.0,6.46
,,,6.0,0.0,2.0,2.0,,,,212a286d3ecebc4df906c7d550cd7f34819b7cea,,2017-11-28 17:42:02+01:00,,,,,0.0,playbooks/jboss.yml,,,2.0,7.0,3.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,12.0,1.0,0.0,0.0,3.58
