additions,additions_avg,additions_max,avg_play_size,avg_task_size,change_set_avg,change_set_max,code_churn_avg,code_churn_count,code_churn_max,commit,commits_count,committed_at,contributors_count,deletions,deletions_avg,deletions_max,failure_prone,filepath,highest_contributor_experience,hunks_median,lines_blank,lines_code,lines_comment,minor_contributors_count,num_authorized_key,num_block_error_handling,num_blocks,num_commands,num_conditions,num_decisions,num_deprecated_keywords,num_deprecated_modules,num_distinct_modules,num_external_modules,num_fact_modules,num_file_exists,num_file_mode,num_file_modules,num_filters,num_ignore_errors,num_import_playbook,num_import_role,num_import_tasks,num_include,num_include_role,num_include_tasks,num_include_vars,num_keys,num_lookups,num_loops,num_math_operations,num_names_with_vars,num_parameters,num_paths,num_plays,num_prompts,num_regex,num_roles,num_suspicious_comments,num_tasks,num_tokens,num_unique_names,num_uri,num_vars,text_entropy
4.0,2.0,4.0,0.0,3.0,6.0,8.0,-8.0,-16.0,4.0,86412af4e2e01bedf4326fbe3247e553fe30e2aa,2.0,2016-10-22 14:46:25-04:00,1.0,20.0,10.0,20.0,1.0,tasks/main.yml,100.0,1.0,18.0,55.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,5.0,0.0,0.0,18.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,48.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,244.0,17.0,0.0,0.0,6.48
4.0,2.0,3.0,0.0,5.0,6.0,8.0,0.0,0.0,0.0,86412af4e2e01bedf4326fbe3247e553fe30e2aa,2.0,2016-10-22 14:46:25-04:00,1.0,4.0,2.0,3.0,0.0,tasks/RedHat.yml,100.0,2.0,10.0,37.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,131.0,8.0,0.0,0.0,5.71
9.0,4.0,8.0,0.0,5.0,6.0,8.0,0.0,0.0,0.0,86412af4e2e01bedf4326fbe3247e553fe30e2aa,2.0,2016-10-22 14:46:25-04:00,1.0,9.0,4.0,8.0,0.0,tasks/Debian.yml,100.0,4.5,14.0,67.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,222.0,14.0,0.0,1.0,5.97
,,,0.0,22.0,6.0,8.0,,,,86412af4e2e01bedf4326fbe3247e553fe30e2aa,,2016-10-22 14:46:25-04:00,,,,,0.0,meta/main.yml,,,0.0,22.0,107.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,36.0,3.0,0.0,0.0,4.79
3.0,3.0,3.0,0.0,5.0,6.0,8.0,0.0,0.0,0.0,86412af4e2e01bedf4326fbe3247e553fe30e2aa,1.0,2016-10-22 14:46:25-04:00,1.0,3.0,3.0,3.0,0.0,tasks/CentOS.yml,100.0,3.0,9.0,37.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,131.0,8.0,0.0,0.0,5.71
,,,,,6.0,8.0,,,,86412af4e2e01bedf4326fbe3247e553fe30e2aa,,2016-10-22 14:46:25-04:00,,,,,0.0,handlers/main.yml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,8.0,8.0,0.0,6.0,6.0,8.0,0.0,0.0,0.0,86412af4e2e01bedf4326fbe3247e553fe30e2aa,1.0,2016-10-22 14:46:25-04:00,1.0,8.0,8.0,8.0,0.0,tasks/Ubuntu.yml,100.0,8.0,16.0,80.0,3.0,0.0,0.0,0.0,0.0,1.0,8.0,2.0,0.0,0.0,15.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,1.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,262.0,16.0,0.0,2.0,6.15
13.0,6.0,9.0,0.0,3.0,10.0,13.0,2.0,4.0,4.0,55f1cb67725434673d273721445651f060ce9371,2.0,2016-10-22 15:44:52-04:00,1.0,9.0,4.0,9.0,1.0,tasks/main.yml,100.0,2.5,19.0,54.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,5.0,0.0,0.0,19.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,50.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,248.0,18.0,0.0,0.0,6.47
3.0,3.0,3.0,0.0,5.0,10.0,13.0,0.0,0.0,0.0,55f1cb67725434673d273721445651f060ce9371,1.0,2016-10-22 15:44:52-04:00,1.0,3.0,3.0,3.0,0.0,tasks/RedHat.yml,100.0,3.0,10.0,37.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,131.0,8.0,0.0,0.0,5.71
8.0,8.0,8.0,0.0,5.0,10.0,13.0,0.0,0.0,0.0,55f1cb67725434673d273721445651f060ce9371,1.0,2016-10-22 15:44:52-04:00,1.0,8.0,8.0,8.0,0.0,tasks/Debian.yml,100.0,8.0,14.0,67.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,222.0,14.0,0.0,1.0,5.97
,,,0.0,22.0,10.0,13.0,,,,55f1cb67725434673d273721445651f060ce9371,,2016-10-22 15:44:52-04:00,,,,,0.0,meta/main.yml,,,0.0,22.0,107.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,36.0,3.0,0.0,0.0,4.79
3.0,3.0,3.0,0.0,5.0,10.0,13.0,0.0,0.0,0.0,55f1cb67725434673d273721445651f060ce9371,1.0,2016-10-22 15:44:52-04:00,1.0,3.0,3.0,3.0,0.0,tasks/CentOS.yml,100.0,3.0,9.0,37.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,131.0,8.0,0.0,0.0,5.71
,,,,,10.0,13.0,,,,55f1cb67725434673d273721445651f060ce9371,,2016-10-22 15:44:52-04:00,,,,,0.0,handlers/main.yml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,8.0,8.0,0.0,6.0,10.0,13.0,0.0,0.0,0.0,55f1cb67725434673d273721445651f060ce9371,1.0,2016-10-22 15:44:52-04:00,1.0,8.0,8.0,8.0,0.0,tasks/Ubuntu.yml,100.0,8.0,16.0,80.0,3.0,0.0,0.0,0.0,0.0,1.0,8.0,2.0,0.0,0.0,15.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,1.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,262.0,16.0,0.0,2.0,6.15
