additions,additions_avg,additions_max,avg_play_size,avg_task_size,change_set_avg,change_set_max,code_churn_avg,code_churn_count,code_churn_max,commit,commits_count,committed_at,contributors_count,deletions,deletions_avg,deletions_max,failure_prone,filepath,highest_contributor_experience,hunks_median,lines_blank,lines_code,lines_comment,minor_contributors_count,num_authorized_key,num_block_error_handling,num_blocks,num_commands,num_conditions,num_decisions,num_deprecated_keywords,num_deprecated_modules,num_distinct_modules,num_external_modules,num_fact_modules,num_file_exists,num_file_mode,num_file_modules,num_filters,num_ignore_errors,num_import_playbook,num_import_role,num_import_tasks,num_include,num_include_role,num_include_tasks,num_include_vars,num_keys,num_lookups,num_loops,num_math_operations,num_names_with_vars,num_parameters,num_paths,num_plays,num_prompts,num_regex,num_roles,num_suspicious_comments,num_tasks,num_tokens,num_unique_names,num_uri,num_vars,text_entropy
,,,0.0,3.0,7.0,12.0,,,,cabd8fff608130732f79177877a25e49a0feb745,,2019-05-31 10:14:11-04:00,,,,,0.0,handlers/main.yml,,,1.0,3.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,1.0,0.0,0.0,3.0
1.0,1.0,1.0,0.0,6.0,7.0,12.0,0.0,0.0,0.0,cabd8fff608130732f79177877a25e49a0feb745,1.0,2019-05-31 10:14:11-04:00,1.0,1.0,1.0,1.0,0.0,tasks/install_remote.yml,100.0,1.0,9.0,53.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,1.0,0.0,2.0,20.0,8.0,0.0,0.0,0.0,0.0,0.0,9.0,162.0,10.0,0.0,3.0,5.58
,,,0.0,25.0,7.0,12.0,,,,cabd8fff608130732f79177877a25e49a0feb745,,2019-05-31 10:14:11-04:00,,,,,0.0,meta/main.yml,,,3.0,25.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.0,3.0,0.0,0.0,4.89
1.0,1.0,1.0,0.0,9.0,7.0,12.0,0.0,0.0,0.0,cabd8fff608130732f79177877a25e49a0feb745,1.0,2019-05-31 10:14:11-04:00,1.0,1.0,1.0,1.0,0.0,tasks/install.yml,100.0,1.0,10.0,90.0,2.0,0.0,0.0,0.0,0.0,1.0,6.0,4.0,1.0,0.0,10.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,0.0,2.0,0.0,2.0,22.0,9.0,0.0,0.0,0.0,0.0,0.0,10.0,261.0,12.0,0.0,3.0,5.95
,,,0.0,6.0,7.0,12.0,,,,cabd8fff608130732f79177877a25e49a0feb745,,2019-05-31 10:14:11-04:00,,,,,0.0,tasks/asserts.yml,,,6.0,32.0,1.0,,0.0,0.0,0.0,0.0,16.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,180.0,6.0,0.0,0.0,5.42
,,,0.0,14.0,7.0,12.0,,,,cabd8fff608130732f79177877a25e49a0feb745,,2019-05-31 10:14:11-04:00,,,,,0.0,tasks/tls.yml,,,2.0,29.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,2.0,0.0,0.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,105.0,2.0,0.0,0.0,4.72
13.0,13.0,13.0,0.0,8.0,7.0,12.0,9.0,9.0,9.0,cabd8fff608130732f79177877a25e49a0feb745,1.0,2019-05-31 10:14:11-04:00,1.0,4.0,4.0,4.0,1.0,tasks/main.yml,100.0,8.0,28.0,210.0,11.0,0.0,0.0,0.0,0.0,5.0,51.0,42.0,2.0,0.0,27.0,0.0,0.0,0.0,7.0,1.0,7.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,169.0,0.0,1.0,0.0,1.0,59.0,17.0,0.0,0.0,0.0,0.0,0.0,27.0,672.0,29.0,1.0,8.0,7.01
2.0,2.0,2.0,0.0,9.0,7.0,12.0,2.0,2.0,2.0,cabd8fff608130732f79177877a25e49a0feb745,1.0,2019-05-31 10:14:11-04:00,1.0,0.0,0.0,0.0,0.0,tasks/install_enterprise.yml,100.0,1.0,8.0,69.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,8.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,2.0,0.0,8.0,18.0,8.0,0.0,0.0,0.0,0.0,0.0,8.0,225.0,9.0,0.0,3.0,5.66
,,,0.0,3.0,2.0,12.0,,,,242de0bf26e1eb9bc11273f1e00bbd884db34a66,,2019-07-26 10:02:15-04:00,,,,,0.0,handlers/main.yml,,,1.0,3.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,1.0,0.0,0.0,3.0
1.0,1.0,1.0,0.0,6.0,2.0,12.0,0.0,0.0,0.0,242de0bf26e1eb9bc11273f1e00bbd884db34a66,1.0,2019-07-26 10:02:15-04:00,1.0,1.0,1.0,1.0,0.0,tasks/install_remote.yml,100.0,1.0,9.0,53.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,1.0,0.0,2.0,20.0,8.0,0.0,0.0,0.0,0.0,0.0,9.0,162.0,10.0,0.0,3.0,5.58
,,,0.0,25.0,2.0,12.0,,,,242de0bf26e1eb9bc11273f1e00bbd884db34a66,,2019-07-26 10:02:15-04:00,,,,,0.0,meta/main.yml,,,3.0,25.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.0,3.0,0.0,0.0,4.89
1.0,1.0,1.0,0.0,9.0,2.0,12.0,0.0,0.0,0.0,242de0bf26e1eb9bc11273f1e00bbd884db34a66,1.0,2019-07-26 10:02:15-04:00,1.0,1.0,1.0,1.0,0.0,tasks/install.yml,100.0,1.0,10.0,90.0,2.0,0.0,0.0,0.0,0.0,1.0,6.0,4.0,1.0,0.0,10.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,0.0,2.0,0.0,2.0,22.0,9.0,0.0,0.0,0.0,0.0,0.0,10.0,261.0,12.0,0.0,3.0,5.95
,,,0.0,6.0,2.0,12.0,,,,242de0bf26e1eb9bc11273f1e00bbd884db34a66,,2019-07-26 10:02:15-04:00,,,,,0.0,tasks/asserts.yml,,,6.0,32.0,1.0,,0.0,0.0,0.0,0.0,16.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,180.0,6.0,0.0,0.0,5.42
,,,0.0,14.0,2.0,12.0,,,,242de0bf26e1eb9bc11273f1e00bbd884db34a66,,2019-07-26 10:02:15-04:00,,,,,0.0,tasks/tls.yml,,,2.0,29.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,2.0,0.0,0.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,105.0,2.0,0.0,0.0,4.72
