additions,additions_avg,additions_max,avg_play_size,avg_task_size,change_set_avg,change_set_max,code_churn_avg,code_churn_count,code_churn_max,commit,commits_count,committed_at,contributors_count,deletions,deletions_avg,deletions_max,failure_prone,filepath,highest_contributor_experience,hunks_median,lines_blank,lines_code,lines_comment,minor_contributors_count,num_authorized_key,num_block_error_handling,num_blocks,num_commands,num_conditions,num_decisions,num_deprecated_keywords,num_deprecated_modules,num_distinct_modules,num_external_modules,num_fact_modules,num_file_exists,num_file_mode,num_file_modules,num_filters,num_ignore_errors,num_import_playbook,num_import_role,num_import_tasks,num_include,num_include_role,num_include_tasks,num_include_vars,num_keys,num_lookups,num_loops,num_math_operations,num_names_with_vars,num_parameters,num_paths,num_plays,num_prompts,num_regex,num_roles,num_suspicious_comments,num_tasks,num_tokens,num_unique_names,num_uri,num_vars,text_entropy
,,,,,6.0,32.0,,,,25c0457f16642e59b9d156042046c8cbcbdf847c,,2018-05-15 21:24:00-07:00,,,,,0.0,molecule/cookiecutter/role/{{cookiecutter.role_name}}/tasks/main.yml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,26.0,6.0,6.0,32.0,-2.0,-2.0,-2.0,25c0457f16642e59b9d156042046c8cbcbdf847c,1.0,2018-05-15 21:24:00-07:00,1.0,2.0,2.0,2.0,0.0,molecule/provisioner/ansible/playbooks/vagrant/destroy.yml,100.0,2.0,5.0,24.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,84.0,4.0,0.0,1.0,5.21
,,,0.0,8.0,6.0,32.0,,,,25c0457f16642e59b9d156042046c8cbcbdf847c,,2018-05-15 21:24:00-07:00,,,,,0.0,molecule/cookiecutter/role/{{cookiecutter.role_name}}/meta/main.yml,,,8.0,8.0,38.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,0.0,0.0,3.78
,,,,,6.0,32.0,,,,25c0457f16642e59b9d156042046c8cbcbdf847c,,2018-05-15 21:24:00-07:00,,,,,0.0,molecule/cookiecutter/role/{{cookiecutter.role_name}}/handlers/main.yml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,31.0,8.0,6.0,32.0,-2.0,-2.0,-2.0,25c0457f16642e59b9d156042046c8cbcbdf847c,1.0,2018-05-15 21:24:00-07:00,1.0,2.0,2.0,2.0,1.0,molecule/provisioner/ansible/playbooks/docker/destroy.yml,100.0,2.0,2.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,3.0,0.0,2.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,93.0,6.0,0.0,2.0,5.29
0.0,0.0,0.0,48.0,10.0,6.0,32.0,-2.0,-2.0,-2.0,25c0457f16642e59b9d156042046c8cbcbdf847c,1.0,2018-05-15 21:24:00-07:00,1.0,2.0,2.0,2.0,0.0,molecule/provisioner/ansible/playbooks/vagrant/create.yml,100.0,2.0,10.0,44.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,2.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,184.0,5.0,0.0,2.0,5.37
0.0,0.0,0.0,83.0,11.0,6.0,32.0,-2.0,-2.0,-2.0,25c0457f16642e59b9d156042046c8cbcbdf847c,1.0,2018-05-15 21:24:00-07:00,1.0,2.0,2.0,2.0,1.0,molecule/provisioner/ansible/playbooks/docker/create.yml,100.0,2.0,6.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,7.0,0.0,4.0,32.0,3.0,1.0,0.0,0.0,0.0,0.0,7.0,304.0,12.0,0.0,4.0,6.05
,,,,,4.0,18.0,,,,e6571ea8df8255792690ef792266e9cdfe612dff,,2018-06-08 11:12:09-07:00,,,,,0.0,molecule/cookiecutter/role/{{cookiecutter.role_name}}/tasks/main.yml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,26.0,6.0,4.0,18.0,,,,e6571ea8df8255792690ef792266e9cdfe612dff,,2018-06-08 11:12:09-07:00,,,,,0.0,molecule/provisioner/ansible/playbooks/vagrant/destroy.yml,,,5.0,24.0,5.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,84.0,4.0,0.0,1.0,5.21
,,,0.0,8.0,4.0,18.0,,,,e6571ea8df8255792690ef792266e9cdfe612dff,,2018-06-08 11:12:09-07:00,,,,,0.0,molecule/cookiecutter/role/{{cookiecutter.role_name}}/meta/main.yml,,,8.0,8.0,38.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,0.0,0.0,3.78
,,,,,4.0,18.0,,,,e6571ea8df8255792690ef792266e9cdfe612dff,,2018-06-08 11:12:09-07:00,,,,,0.0,molecule/cookiecutter/role/{{cookiecutter.role_name}}/handlers/main.yml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
