additions,additions_avg,additions_max,avg_play_size,avg_task_size,change_set_avg,change_set_max,code_churn_avg,code_churn_count,code_churn_max,commit,commits_count,committed_at,contributors_count,deletions,deletions_avg,deletions_max,failure_prone,filepath,highest_contributor_experience,hunks_median,lines_blank,lines_code,lines_comment,minor_contributors_count,num_authorized_key,num_block_error_handling,num_blocks,num_commands,num_conditions,num_decisions,num_deprecated_keywords,num_deprecated_modules,num_distinct_modules,num_external_modules,num_fact_modules,num_file_exists,num_file_mode,num_file_modules,num_filters,num_ignore_errors,num_import_playbook,num_import_role,num_import_tasks,num_include,num_include_role,num_include_tasks,num_include_vars,num_keys,num_lookups,num_loops,num_math_operations,num_names_with_vars,num_parameters,num_paths,num_plays,num_prompts,num_regex,num_roles,num_suspicious_comments,num_tasks,num_tokens,num_unique_names,num_uri,num_vars,text_entropy
,,,0.0,13.0,11.0,11.0,,,,d5aec06ca9f596671d14278e914ebe0b5508bb5a,,2017-06-08 17:25:41-04:00,,,,,0.0,tasks/audit-cat1.yml,,,8.0,108.0,0.0,,0.0,0.0,0.0,7.0,14.0,0.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,355.0,9.0,0.0,9.0,6.55
414.0,414.0,414.0,0.0,12.0,11.0,11.0,378.0,378.0,378.0,d5aec06ca9f596671d14278e914ebe0b5508bb5a,1.0,2017-06-08 17:25:41-04:00,1.0,36.0,36.0,36.0,1.0,tasks/fix-cat2.yml,100.0,333.0,201.0,2247.0,37.0,0.0,0.0,0.0,0.0,138.0,146.0,21.0,0.0,0.0,201.0,0.0,0.0,0.0,4.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1223.0,0.0,8.0,0.0,0.0,246.0,42.0,0.0,0.0,35.0,0.0,0.0,201.0,7248.0,214.0,0.0,2.0,7.73
32.0,32.0,32.0,0.0,11.0,11.0,11.0,11.0,11.0,11.0,d5aec06ca9f596671d14278e914ebe0b5508bb5a,1.0,2017-06-08 17:25:41-04:00,1.0,21.0,21.0,21.0,0.0,tasks/fix-cat3.yml,100.0,27.0,11.0,115.0,3.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,9.0,2.0,0.0,0.0,2.0,0.0,0.0,11.0,372.0,11.0,0.0,0.0,6.31
,,,0.0,16.0,11.0,11.0,,,,d5aec06ca9f596671d14278e914ebe0b5508bb5a,,2017-06-08 17:25:41-04:00,,,,,0.0,meta/main.yml,,,3.0,16.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,29.0,1.0,0.0,0.0,4.79
1.0,1.0,1.0,0.0,4.0,11.0,11.0,0.0,0.0,0.0,d5aec06ca9f596671d14278e914ebe0b5508bb5a,1.0,2017-06-08 17:25:41-04:00,1.0,1.0,1.0,1.0,0.0,handlers/main.yml,100.0,1.0,5.0,25.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,59.0,9.0,0.0,0.0,4.74
175.0,175.0,175.0,0.0,18.0,11.0,11.0,99.0,99.0,99.0,d5aec06ca9f596671d14278e914ebe0b5508bb5a,1.0,2017-06-08 17:25:41-04:00,1.0,76.0,76.0,76.0,0.0,tasks/fix-cat1.yml,100.0,28.0,40.0,411.0,10.0,0.0,0.0,0.0,9.0,0.0,16.0,9.0,3.0,0.0,17.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267.0,0.0,8.0,0.0,2.0,55.0,12.0,0.0,0.0,9.0,0.0,0.0,26.0,1587.0,31.0,0.0,7.0,7.63
184.0,184.0,184.0,0.0,15.0,11.0,11.0,184.0,184.0,184.0,d5aec06ca9f596671d14278e914ebe0b5508bb5a,1.0,2017-06-08 17:25:41-04:00,1.0,0.0,0.0,0.0,1.0,tasks/prelim.yml,100.0,1.0,13.0,97.0,74.0,0.0,0.0,0.0,0.0,5.0,14.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,272.0,7.0,0.0,7.0,6.41
,,,0.0,7.0,11.0,11.0,,,,d5aec06ca9f596671d14278e914ebe0b5508bb5a,,2017-06-08 17:25:41-04:00,,,,,0.0,tasks/audit-cat3.yml,,,0.0,7.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,1.0,0.0,0.0,3.81
,,,0.0,14.0,11.0,11.0,,,,d5aec06ca9f596671d14278e914ebe0b5508bb5a,,2017-06-08 17:25:41-04:00,,,,,0.0,tasks/audit-cat2.yml,,,9.0,130.0,0.0,,0.0,0.0,0.0,6.0,20.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,422.0,10.0,0.0,10.0,6.8
34.0,34.0,34.0,0.0,7.0,11.0,11.0,4.0,4.0,4.0,d5aec06ca9f596671d14278e914ebe0b5508bb5a,1.0,2017-06-08 17:25:41-04:00,1.0,30.0,30.0,30.0,0.0,tasks/main.yml,100.0,7.0,8.0,38.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,111.0,5.0,0.0,0.0,5.82
