additions,additions_avg,additions_max,avg_play_size,avg_task_size,change_set_avg,change_set_max,code_churn_avg,code_churn_count,code_churn_max,commit,commits_count,committed_at,contributors_count,deletions,deletions_avg,deletions_max,failure_prone,filepath,highest_contributor_experience,hunks_median,lines_blank,lines_code,lines_comment,minor_contributors_count,num_authorized_key,num_block_error_handling,num_blocks,num_commands,num_conditions,num_decisions,num_deprecated_keywords,num_deprecated_modules,num_distinct_modules,num_external_modules,num_fact_modules,num_file_exists,num_file_mode,num_file_modules,num_filters,num_ignore_errors,num_import_playbook,num_import_role,num_import_tasks,num_include,num_include_role,num_include_tasks,num_include_vars,num_keys,num_lookups,num_loops,num_math_operations,num_names_with_vars,num_parameters,num_paths,num_plays,num_prompts,num_regex,num_roles,num_suspicious_comments,num_tasks,num_tokens,num_unique_names,num_uri,num_vars,text_entropy
,,,0.0,2.0,3.0,3.0,,,,62ed162edea410e87a7921a2dae9a9ba0fcc9d87,,2015-08-03 19:42:43+01:00,,,,,0.0,tasks/update-code/copy.yml,,,0.0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,1.0,0.0,0.0,3.95
,,,0.0,4.0,3.0,3.0,,,,62ed162edea410e87a7921a2dae9a9ba0fcc9d87,,2015-08-03 19:42:43+01:00,,,,,0.0,tasks/symlink-shared.yml,,,1.0,6.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,40.0,2.0,0.0,0.0,4.53
,,,,,3.0,3.0,,,,62ed162edea410e87a7921a2dae9a9ba0fcc9d87,,2015-08-03 19:42:43+01:00,,,,,0.0,tasks/empty.yml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,1.0,1.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,62ed162edea410e87a7921a2dae9a9ba0fcc9d87,1.0,2015-08-03 19:42:43+01:00,1.0,1.0,1.0,1.0,0.0,tasks/update-code/rsync.yml,100.0,1.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,63.0,3.0,0.0,1.0,5.16
,,,0.0,4.0,3.0,3.0,,,,62ed162edea410e87a7921a2dae9a9ba0fcc9d87,,2015-08-03 19:42:43+01:00,,,,,0.0,tasks/cleanup.yml,,,0.0,3.0,1.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.0,1.0,0.0,0.0,4.57
,,,0.0,7.0,3.0,3.0,,,,62ed162edea410e87a7921a2dae9a9ba0fcc9d87,,2015-08-03 19:42:43+01:00,,,,,1.0,tasks/update-code/git.yml,,,3.0,27.0,0.0,,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,14.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,117.0,4.0,0.0,0.0,5.41
,,,0.0,45.0,3.0,3.0,,,,62ed162edea410e87a7921a2dae9a9ba0fcc9d87,,2015-08-03 19:42:43+01:00,,,,,0.0,meta/main.yml,,,0.0,44.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,74.0,11.0,0.0,0.0,4.67
,,,0.0,1.0,3.0,3.0,,,,62ed162edea410e87a7921a2dae9a9ba0fcc9d87,,2015-08-03 19:42:43+01:00,,,,,0.0,tasks/main.yml,,,15.0,18.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,94.0,1.0,0.0,0.0,4.44
,,,0.0,3.0,3.0,3.0,,,,62ed162edea410e87a7921a2dae9a9ba0fcc9d87,,2015-08-03 19:42:43+01:00,,,,,0.0,tasks/update-code/s3.yml,,,0.0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,23.0,1.0,0.0,0.0,4.0
,,,0.0,1.0,3.0,3.0,,,,62ed162edea410e87a7921a2dae9a9ba0fcc9d87,,2015-08-03 19:42:43+01:00,,,,,0.0,example/my-app/config/deploy/tasks/after-symlink.yml,,,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.58
