additions,additions_avg,additions_max,avg_play_size,avg_task_size,change_set_avg,change_set_max,code_churn_avg,code_churn_count,code_churn_max,commit,commits_count,committed_at,contributors_count,deletions,deletions_avg,deletions_max,failure_prone,filepath,highest_contributor_experience,hunks_median,lines_blank,lines_code,lines_comment,minor_contributors_count,num_authorized_key,num_block_error_handling,num_blocks,num_commands,num_conditions,num_decisions,num_deprecated_keywords,num_deprecated_modules,num_distinct_modules,num_external_modules,num_fact_modules,num_file_exists,num_file_mode,num_file_modules,num_filters,num_ignore_errors,num_import_playbook,num_import_role,num_import_tasks,num_include,num_include_role,num_include_tasks,num_include_vars,num_keys,num_lookups,num_loops,num_math_operations,num_names_with_vars,num_parameters,num_paths,num_plays,num_prompts,num_regex,num_roles,num_suspicious_comments,num_tasks,num_tokens,num_unique_names,num_uri,num_vars,text_entropy
,,,0.0,4.0,1.0,1.0,,,,437b664a37d6edd1b10507c658585451be7ab1d1,,2016-01-30 13:26:42+01:00,,,,,0.0,tasks/main.yml,,,17.0,61.0,0.0,,0.0,0.0,0.0,2.0,11.0,8.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,235.0,14.0,0.0,4.0,6.44
,,,0.0,23.0,1.0,1.0,,,,437b664a37d6edd1b10507c658585451be7ab1d1,,2016-01-30 13:26:42+01:00,,,,,1.0,meta/main.yml,,,3.0,23.0,10.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,39.0,4.0,0.0,0.0,4.82
,,,0.0,3.0,1.0,1.0,,,,437b664a37d6edd1b10507c658585451be7ab1d1,,2016-01-30 13:26:42+01:00,,,,,0.0,handlers/main.yml,,,1.0,6.0,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,19.0,2.0,0.0,0.0,3.83
5.0,5.0,5.0,0.0,3.0,1.0,4.0,5.0,5.0,5.0,b9c1af0e04ccbd4376cf9b9051bc9a1083a3b50a,1.0,2016-08-16 21:07:29+02:00,1.0,0.0,0.0,0.0,1.0,tasks/packages-dnf.yml,100.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,1.0,0.0,0.0,3.17
8.0,4.0,5.0,0.0,2.0,1.0,4.0,4.0,8.0,5.0,b9c1af0e04ccbd4376cf9b9051bc9a1083a3b50a,2.0,2016-08-16 21:07:29+02:00,1.0,0.0,0.0,0.0,1.0,tasks/packages-apt.yml,100.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,15.0,2.0,0.0,0.0,3.51
5.0,5.0,5.0,0.0,3.0,1.0,4.0,5.0,5.0,5.0,b9c1af0e04ccbd4376cf9b9051bc9a1083a3b50a,1.0,2016-08-16 21:07:29+02:00,1.0,0.0,0.0,0.0,1.0,tasks/packages-yum.yml,100.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,1.0,0.0,0.0,3.17
1.0,1.0,1.0,0.0,23.0,1.0,4.0,0.0,0.0,0.0,b9c1af0e04ccbd4376cf9b9051bc9a1083a3b50a,1.0,2016-08-16 21:07:29+02:00,1.0,1.0,1.0,1.0,0.0,meta/main.yml,100.0,1.0,3.0,23.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,39.0,4.0,0.0,0.0,4.82
74.0,6.0,18.0,0.0,4.0,1.0,4.0,1.0,7.0,12.0,b9c1af0e04ccbd4376cf9b9051bc9a1083a3b50a,12.0,2016-08-16 21:07:29+02:00,2.0,67.0,6.0,18.0,1.0,tasks/main.yml,63.83,2.5,16.0,57.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,5.0,0.0,0.0,17.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,53.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,250.0,12.0,0.0,5.0,6.33
,,,0.0,3.0,1.0,4.0,,,,b9c1af0e04ccbd4376cf9b9051bc9a1083a3b50a,,2016-08-16 21:07:29+02:00,,,,,0.0,handlers/main.yml,,,1.0,6.0,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,19.0,2.0,0.0,0.0,3.83
1.0,1.0,1.0,0.0,3.0,3.0,10.0,0.0,0.0,0.0,c433db813d64c0b7be5558c2f7ee574b7a245fa6,1.0,2016-12-04 13:01:16+01:00,1.0,1.0,1.0,1.0,1.0,tasks/packages-yum.yml,100.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,1.0,0.0,0.0,3.32
