additions,additions_avg,additions_max,avg_play_size,avg_task_size,change_set_avg,change_set_max,code_churn_avg,code_churn_count,code_churn_max,commit,commits_count,committed_at,contributors_count,deletions,deletions_avg,deletions_max,failure_prone,filepath,highest_contributor_experience,hunks_median,lines_blank,lines_code,lines_comment,minor_contributors_count,num_authorized_key,num_block_error_handling,num_blocks,num_commands,num_conditions,num_decisions,num_deprecated_keywords,num_deprecated_modules,num_distinct_modules,num_external_modules,num_fact_modules,num_file_exists,num_file_mode,num_file_modules,num_filters,num_ignore_errors,num_import_playbook,num_import_role,num_import_tasks,num_include,num_include_role,num_include_tasks,num_include_vars,num_keys,num_lookups,num_loops,num_math_operations,num_names_with_vars,num_parameters,num_paths,num_plays,num_prompts,num_regex,num_roles,num_suspicious_comments,num_tasks,num_tokens,num_unique_names,num_uri,num_vars,text_entropy
,,,0.0,8.0,0.0,0.0,,,,03cd04c223154db2e881f96ff6ce4615b8e89450,,2017-10-06 00:57:47+02:00,,,,,0.0,meta/main.yml,,,8.0,8.0,38.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,0.0,0.0,3.78
,,,0.0,10.0,0.0,0.0,,,,03cd04c223154db2e881f96ff6ce4615b8e89450,,2017-10-06 00:57:47+02:00,,,,,1.0,tasks/main.yml,,,4.0,41.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,0.0,2.0,0.0,0.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,92.0,4.0,0.0,0.0,5.44
,,,,,0.0,0.0,,,,03cd04c223154db2e881f96ff6ce4615b8e89450,,2017-10-06 00:57:47+02:00,,,,,0.0,handlers/main.yml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0.0,8.0,1.0,2.0,,,,13cc93a4977c161bb1412280ebcc3b74c3435acd,,2017-10-11 13:33:30+02:00,,,,,0.0,meta/main.yml,,,8.0,8.0,38.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,0.0,0.0,3.78
2.0,2.0,2.0,0.0,10.0,1.0,2.0,0.0,0.0,0.0,13cc93a4977c161bb1412280ebcc3b74c3435acd,1.0,2017-10-11 13:33:30+02:00,1.0,2.0,2.0,2.0,1.0,tasks/main.yml,100.0,2.0,4.0,41.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,0.0,2.0,0.0,0.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,92.0,4.0,0.0,0.0,5.44
,,,,,1.0,2.0,,,,13cc93a4977c161bb1412280ebcc3b74c3435acd,,2017-10-11 13:33:30+02:00,,,,,0.0,handlers/main.yml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.0,7.0,17.0,0.0,19.0,2.0,9.0,-12.0,-36.0,2.0,18dd98c9534c4d17f117a99d1f734142c784de25,3.0,2018-01-05 23:40:00+01:00,1.0,58.0,19.0,56.0,1.0,meta/main.yml,100.0,2.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,29.0,3.0,0.0,0.0,4.53
5.0,2.0,4.0,0.0,10.0,2.0,9.0,0.0,1.0,1.0,18dd98c9534c4d17f117a99d1f734142c784de25,2.0,2018-01-05 23:40:00+01:00,1.0,4.0,2.0,3.0,1.0,tasks/main.yml,100.0,2.5,4.0,42.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,31.0,0.0,2.0,0.0,1.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,92.0,5.0,0.0,0.0,5.35
2.0,1.0,1.0,,,2.0,9.0,0.0,0.0,0.0,18dd98c9534c4d17f117a99d1f734142c784de25,2.0,2018-01-05 23:40:00+01:00,1.0,2.0,1.0,1.0,0.0,handlers/main.yml,100.0,2.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0.0,19.0,1.0,1.0,,,,56fd369e9c6903d9b6dded21a6cf665213895d7c,,2018-04-17 11:30:22+02:00,,,,,1.0,meta/main.yml,,,1.0,19.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,29.0,3.0,0.0,0.0,4.53
5.0,5.0,5.0,0.0,12.0,1.0,1.0,4.0,4.0,4.0,56fd369e9c6903d9b6dded21a6cf665213895d7c,1.0,2018-04-17 11:30:22+02:00,1.0,1.0,1.0,1.0,1.0,tasks/main.yml,100.0,4.0,4.0,46.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33.0,0.0,2.0,0.0,1.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,103.0,5.0,0.0,0.0,5.42
,,,,,1.0,1.0,,,,56fd369e9c6903d9b6dded21a6cf665213895d7c,,2018-04-17 11:30:22+02:00,,,,,0.0,handlers/main.yml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0.0,19.0,1.0,2.0,,,,9e8cf411f4a330ad85e7378f0a050aec9a6e48f8,,2018-11-17 15:22:45+01:00,,,,,1.0,meta/main.yml,,,1.0,19.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,29.0,3.0,0.0,0.0,4.53
0.0,0.0,0.0,0.0,11.0,1.0,2.0,-1.0,-1.0,-1.0,9e8cf411f4a330ad85e7378f0a050aec9a6e48f8,1.0,2018-11-17 15:22:45+01:00,1.0,1.0,1.0,1.0,0.0,tasks/main.yml,100.0,1.0,4.0,45.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,32.0,0.0,2.0,0.0,1.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,100.0,5.0,0.0,0.0,5.34
,,,,,1.0,2.0,,,,9e8cf411f4a330ad85e7378f0a050aec9a6e48f8,,2018-11-17 15:22:45+01:00,,,,,0.0,handlers/main.yml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,10.0,10.0,0.0,26.0,1.0,2.0,7.0,7.0,7.0,7a5328efc0374e462b1d5e18a6fc3435ee754155,1.0,2018-12-11 21:51:03+01:00,1.0,3.0,3.0,3.0,1.0,meta/main.yml,100.0,3.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,43.0,3.0,0.0,0.0,5.16
15.0,15.0,15.0,0.0,11.0,1.0,2.0,0.0,0.0,0.0,7a5328efc0374e462b1d5e18a6fc3435ee754155,1.0,2018-12-11 21:51:03+01:00,1.0,15.0,15.0,15.0,0.0,tasks/main.yml,100.0,9.0,4.0,45.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,32.0,0.0,2.0,0.0,1.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,101.0,5.0,0.0,0.0,5.34
,,,,,1.0,2.0,,,,7a5328efc0374e462b1d5e18a6fc3435ee754155,,2018-12-11 21:51:03+01:00,,,,,0.0,handlers/main.yml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0.0,26.0,1.0,4.0,,,,76514d93d323ebe2ef60358e5ee49b41e131bd18,,2018-12-13 12:47:41+01:00,,,,,1.0,meta/main.yml,,,2.0,25.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,43.0,3.0,0.0,0.0,5.16
,,,0.0,11.0,1.0,4.0,,,,76514d93d323ebe2ef60358e5ee49b41e131bd18,,2018-12-13 12:47:41+01:00,,,,,0.0,tasks/main.yml,,,4.0,45.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,32.0,0.0,2.0,0.0,1.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,101.0,5.0,0.0,0.0,5.34
,,,,,1.0,4.0,,,,76514d93d323ebe2ef60358e5ee49b41e131bd18,,2018-12-13 12:47:41+01:00,,,,,0.0,handlers/main.yml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0.0,26.0,0.0,1.0,,,,0aced5bf8e938b8eee2d902bd3c9262c764c2e54,,2019-01-14 11:00:48+01:00,,,,,1.0,meta/main.yml,,,2.0,25.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,43.0,3.0,0.0,0.0,5.16
4.0,4.0,4.0,0.0,12.0,0.0,1.0,4.0,4.0,4.0,0aced5bf8e938b8eee2d902bd3c9262c764c2e54,1.0,2019-01-14 11:00:48+01:00,1.0,0.0,0.0,0.0,0.0,tasks/main.yml,100.0,1.0,4.0,49.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,36.0,0.0,2.0,0.0,1.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,111.0,5.0,0.0,1.0,5.58
,,,,,0.0,1.0,,,,0aced5bf8e938b8eee2d902bd3c9262c764c2e54,,2019-01-14 11:00:48+01:00,,,,,0.0,handlers/main.yml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0.0,26.0,1.0,2.0,,,,3a47e26e4668783c777e56c108e7e50cfc1a91a1,,2019-04-25 11:51:37+02:00,,,,,1.0,meta/main.yml,,,2.0,25.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,43.0,3.0,0.0,0.0,5.16
,,,0.0,12.0,1.0,2.0,,,,3a47e26e4668783c777e56c108e7e50cfc1a91a1,,2019-04-25 11:51:37+02:00,,,,,0.0,tasks/main.yml,,,4.0,49.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,36.0,0.0,2.0,0.0,1.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,111.0,5.0,0.0,1.0,5.58
