additions,additions_avg,additions_max,avg_play_size,avg_task_size,change_set_avg,change_set_max,code_churn_avg,code_churn_count,code_churn_max,commit,commits_count,committed_at,contributors_count,deletions,deletions_avg,deletions_max,failure_prone,filepath,highest_contributor_experience,hunks_median,lines_blank,lines_code,lines_comment,minor_contributors_count,num_authorized_key,num_block_error_handling,num_blocks,num_commands,num_conditions,num_decisions,num_deprecated_keywords,num_deprecated_modules,num_distinct_modules,num_external_modules,num_fact_modules,num_file_exists,num_file_mode,num_file_modules,num_filters,num_ignore_errors,num_import_playbook,num_import_role,num_import_tasks,num_include,num_include_role,num_include_tasks,num_include_vars,num_keys,num_lookups,num_loops,num_math_operations,num_names_with_vars,num_parameters,num_paths,num_plays,num_prompts,num_regex,num_roles,num_suspicious_comments,num_tasks,num_tokens,num_unique_names,num_uri,num_vars,text_entropy
9.0,3.0,4.0,0.0,3.0,2.0,5.0,-27.0,-81.0,3.0,f350584570c250314185c041cc6d3e7f2599031c,3.0,2018-03-30 14:10:34+02:00,1.0,90.0,30.0,90.0,0.0,tasks/main.yml,100.0,3.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,27.0,2.0,0.0,0.0,3.81
,,,0.0,6.0,2.0,5.0,,,,f350584570c250314185c041cc6d3e7f2599031c,,2018-03-30 14:10:34+02:00,,,,,0.0,handlers/main.yml,,,1.0,11.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,22.0,2.0,0.0,0.0,3.24
90.0,45.0,80.0,0.0,9.0,2.0,5.0,44.0,88.0,80.0,f350584570c250314185c041cc6d3e7f2599031c,2.0,2018-03-30 14:10:34+02:00,1.0,2.0,1.0,2.0,1.0,tasks/install.yml,100.0,2.0,8.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,4.0,0.0,1.0,35.0,8.0,0.0,0.0,0.0,0.0,0.0,9.0,212.0,10.0,0.0,0.0,6.21
16.0,5.0,14.0,0.0,11.0,2.0,5.0,5.0,15.0,14.0,f350584570c250314185c041cc6d3e7f2599031c,3.0,2018-03-30 14:10:34+02:00,1.0,1.0,0.0,1.0,0.0,tasks/configure.yml,100.0,1.0,1.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,29.0,1.0,0.0,0.0,4.51
,,,0.0,26.0,2.0,5.0,,,,f350584570c250314185c041cc6d3e7f2599031c,,2018-03-30 14:10:34+02:00,,,,,0.0,meta/main.yml,,,1.0,26.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,37.0,4.0,0.0,0.0,4.78
40.0,8.0,13.0,0.0,5.0,2.0,5.0,8.0,39.0,13.0,f350584570c250314185c041cc6d3e7f2599031c,5.0,2018-03-30 14:10:34+02:00,1.0,1.0,0.0,1.0,1.0,tasks/preflight.yml,100.0,1.0,6.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,171.0,7.0,0.0,0.0,6.01
,,,0.0,3.0,1.0,1.0,,,,2f41235eda3d408d51d1a33406e602498e3e48c6,,2018-04-06 00:04:05+02:00,,,,,0.0,tasks/main.yml,,,3.0,11.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,27.0,2.0,0.0,0.0,3.81
,,,0.0,6.0,1.0,1.0,,,,2f41235eda3d408d51d1a33406e602498e3e48c6,,2018-04-06 00:04:05+02:00,,,,,0.0,handlers/main.yml,,,1.0,11.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,22.0,2.0,0.0,0.0,3.24
10.0,5.0,8.0,0.0,10.0,1.0,1.0,4.0,8.0,8.0,2f41235eda3d408d51d1a33406e602498e3e48c6,2.0,2018-04-06 00:04:05+02:00,1.0,2.0,1.0,2.0,1.0,tasks/install.yml,100.0,1.5,8.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,4.0,0.0,1.0,35.0,8.0,0.0,0.0,0.0,0.0,0.0,9.0,232.0,10.0,0.0,2.0,6.36
,,,0.0,11.0,1.0,1.0,,,,2f41235eda3d408d51d1a33406e602498e3e48c6,,2018-04-06 00:04:05+02:00,,,,,0.0,tasks/configure.yml,,,1.0,11.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,29.0,1.0,0.0,0.0,4.51
