additions,additions_avg,additions_max,avg_play_size,avg_task_size,change_set_avg,change_set_max,code_churn_avg,code_churn_count,code_churn_max,commit,commits_count,committed_at,contributors_count,deletions,deletions_avg,deletions_max,failure_prone,filepath,highest_contributor_experience,hunks_median,lines_blank,lines_code,lines_comment,minor_contributors_count,num_authorized_key,num_block_error_handling,num_blocks,num_commands,num_conditions,num_decisions,num_deprecated_keywords,num_deprecated_modules,num_distinct_modules,num_external_modules,num_fact_modules,num_file_exists,num_file_mode,num_file_modules,num_filters,num_ignore_errors,num_import_playbook,num_import_role,num_import_tasks,num_include,num_include_role,num_include_tasks,num_include_vars,num_keys,num_lookups,num_loops,num_math_operations,num_names_with_vars,num_parameters,num_paths,num_plays,num_prompts,num_regex,num_roles,num_suspicious_comments,num_tasks,num_tokens,num_unique_names,num_uri,num_vars,text_entropy
21.0,21.0,21.0,0.0,16.0,13.0,13.0,21.0,21.0,21.0,66c0f274ad6d0906d82920c29729456f1929c58d,1.0,2017-05-16 10:48:27+02:00,1.0,0.0,0.0,0.0,1.0,meta/main.yml,100.0,1.0,2.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25.0,2.0,0.0,0.0,4.48
11.0,11.0,11.0,0.0,4.0,13.0,13.0,11.0,11.0,11.0,66c0f274ad6d0906d82920c29729456f1929c58d,1.0,2017-05-16 10:48:27+02:00,1.0,0.0,0.0,0.0,0.0,handlers/main.yml,100.0,1.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0,2.0,0.0,0.0,2.75
100.0,100.0,100.0,0.0,7.0,13.0,13.0,100.0,100.0,100.0,66c0f274ad6d0906d82920c29729456f1929c58d,1.0,2017-05-16 10:48:27+02:00,1.0,0.0,0.0,0.0,0.0,tasks/main.yml,100.0,1.0,11.0,87.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,2.0,0.0,3.0,44.0,13.0,0.0,0.0,0.0,0.0,0.0,12.0,243.0,16.0,0.0,1.0,5.88
33.0,16.0,21.0,0.0,18.0,9.0,13.0,10.0,20.0,21.0,effe08bcbf4639775913a088c04feca682c40eff,2.0,2017-06-05 20:26:42+02:00,2.0,13.0,6.0,13.0,1.0,meta/main.yml,54.35,3.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.0,2.0,0.0,0.0,4.66
11.0,11.0,11.0,0.0,4.0,9.0,13.0,11.0,11.0,11.0,effe08bcbf4639775913a088c04feca682c40eff,1.0,2017-06-05 20:26:42+02:00,1.0,0.0,0.0,0.0,0.0,handlers/main.yml,100.0,1.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0,2.0,0.0,0.0,2.75
111.0,56.0,100.0,0.0,7.0,9.0,13.0,50.0,100.0,100.0,effe08bcbf4639775913a088c04feca682c40eff,2.0,2017-06-05 20:26:42+02:00,2.0,11.0,6.0,11.0,0.0,tasks/main.yml,81.97,2.0,10.0,79.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,1.0,0.0,2.0,42.0,13.0,0.0,0.0,0.0,0.0,0.0,11.0,228.0,14.0,0.0,1.0,5.79
,,,0.0,18.0,1.0,2.0,,,,39c9a13b856e492d38f6cab806fc9dfbc033596f,,2017-06-14 13:17:09+02:00,,,,,1.0,meta/main.yml,,,1.0,18.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.0,2.0,0.0,0.0,4.66
,,,0.0,4.0,1.0,2.0,,,,39c9a13b856e492d38f6cab806fc9dfbc033596f,,2017-06-14 13:17:09+02:00,,,,,0.0,handlers/main.yml,,,2.0,8.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0,2.0,0.0,0.0,2.75
,,,0.0,7.0,1.0,2.0,,,,39c9a13b856e492d38f6cab806fc9dfbc033596f,,2017-06-14 13:17:09+02:00,,,,,0.0,tasks/main.yml,,,10.0,79.0,9.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,1.0,0.0,2.0,42.0,13.0,0.0,0.0,0.0,0.0,0.0,11.0,228.0,14.0,0.0,1.0,5.79
,,,0.0,18.0,1.0,4.0,,,,f3b74a3e4c1502c077bfbdd86c0f3c25c8985c9a,,2017-07-19 09:46:36+02:00,,,,,1.0,meta/main.yml,,,1.0,18.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.0,2.0,0.0,0.0,4.66
3.0,3.0,3.0,0.0,3.0,1.0,4.0,2.0,2.0,2.0,f3b74a3e4c1502c077bfbdd86c0f3c25c8985c9a,1.0,2017-07-19 09:46:36+02:00,1.0,1.0,1.0,1.0,0.0,handlers/main.yml,100.0,2.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,22.0,3.0,0.0,0.0,3.3
1.0,1.0,1.0,0.0,7.0,1.0,4.0,1.0,1.0,1.0,f3b74a3e4c1502c077bfbdd86c0f3c25c8985c9a,1.0,2017-07-19 09:46:36+02:00,1.0,0.0,0.0,0.0,0.0,tasks/main.yml,100.0,1.0,10.0,80.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,1.0,0.0,2.0,42.0,13.0,0.0,0.0,0.0,0.0,0.0,11.0,230.0,14.0,0.0,1.0,5.8
,,,0.0,18.0,0.0,1.0,,,,5e724145dd4f5322b1706e2d52691eb5e8ec0f6c,,2017-07-21 16:03:22+02:00,,,,,1.0,meta/main.yml,,,1.0,18.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.0,2.0,0.0,0.0,4.66
,,,0.0,3.0,0.0,1.0,,,,5e724145dd4f5322b1706e2d52691eb5e8ec0f6c,,2017-07-21 16:03:22+02:00,,,,,0.0,handlers/main.yml,,,2.0,10.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,22.0,3.0,0.0,0.0,3.3
,,,0.0,7.0,0.0,1.0,,,,5e724145dd4f5322b1706e2d52691eb5e8ec0f6c,,2017-07-21 16:03:22+02:00,,,,,0.0,tasks/main.yml,,,10.0,80.0,9.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,1.0,0.0,2.0,42.0,13.0,0.0,0.0,0.0,0.0,0.0,11.0,230.0,14.0,0.0,1.0,5.8
