additions,additions_avg,additions_max,avg_play_size,avg_task_size,change_set_avg,change_set_max,code_churn_avg,code_churn_count,code_churn_max,commit,commits_count,committed_at,contributors_count,deletions,deletions_avg,deletions_max,failure_prone,filepath,highest_contributor_experience,hunks_median,lines_blank,lines_code,lines_comment,minor_contributors_count,num_authorized_key,num_block_error_handling,num_blocks,num_commands,num_conditions,num_decisions,num_deprecated_keywords,num_deprecated_modules,num_distinct_modules,num_external_modules,num_fact_modules,num_file_exists,num_file_mode,num_file_modules,num_filters,num_ignore_errors,num_import_playbook,num_import_role,num_import_tasks,num_include,num_include_role,num_include_tasks,num_include_vars,num_keys,num_lookups,num_loops,num_math_operations,num_names_with_vars,num_parameters,num_paths,num_plays,num_prompts,num_regex,num_roles,num_suspicious_comments,num_tasks,num_tokens,num_unique_names,num_uri,num_vars,text_entropy
17.0,17.0,17.0,0.0,7.0,1.0,1.0,16.0,16.0,16.0,7d10c88a15be48dcd9ba8c43819f9f483e17d542,1.0,2017-04-19 16:10:09+02:00,1.0,1.0,1.0,1.0,0.0,tasks/main.yml,100.0,3.0,9.0,59.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,2.0,31.0,10.0,0.0,0.0,0.0,0.0,0.0,9.0,186.0,12.0,0.0,1.0,5.97
,,,0.0,3.0,1.0,1.0,,,,7d10c88a15be48dcd9ba8c43819f9f483e17d542,,2017-04-19 16:10:09+02:00,,,,,0.0,handlers/main.yml,,,1.0,6.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,3.0,0.0,0.0,3.32
,,,0.0,16.0,1.0,1.0,,,,7d10c88a15be48dcd9ba8c43819f9f483e17d542,,2017-04-19 16:10:09+02:00,,,,,1.0,meta/main.yml,,,1.0,16.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,27.0,2.0,0.0,0.0,4.61
17.0,8.0,17.0,0.0,6.0,1.0,1.0,-1.0,-2.0,16.0,f866dc8ab6dbb5f5463f7facb5f20b1ec18904fa,2.0,2017-05-18 10:16:00+02:00,2.0,19.0,10.0,18.0,0.0,tasks/main.yml,50.0,3.5,7.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,2.0,30.0,9.0,0.0,0.0,0.0,0.0,0.0,8.0,157.0,11.0,0.0,0.0,5.72
,,,0.0,3.0,1.0,1.0,,,,f866dc8ab6dbb5f5463f7facb5f20b1ec18904fa,,2017-05-18 10:16:00+02:00,,,,,0.0,handlers/main.yml,,,1.0,6.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,3.0,0.0,0.0,3.32
,,,0.0,16.0,1.0,1.0,,,,f866dc8ab6dbb5f5463f7facb5f20b1ec18904fa,,2017-05-18 10:16:00+02:00,,,,,1.0,meta/main.yml,,,1.0,16.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,27.0,2.0,0.0,0.0,4.61
12.0,12.0,12.0,0.0,18.0,8.0,15.0,0.0,0.0,0.0,9ae5e46e9bd689724080225c3d3e7c0209f516f5,1.0,2017-06-06 10:21:20+02:00,1.0,12.0,12.0,12.0,1.0,meta/main.yml,100.0,5.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.0,2.0,0.0,0.0,4.66
13.0,6.0,13.0,0.0,6.0,8.0,15.0,-9.0,-18.0,0.0,9ae5e46e9bd689724080225c3d3e7c0209f516f5,2.0,2017-06-06 10:21:20+02:00,1.0,31.0,16.0,18.0,0.0,tasks/main.yml,100.0,6.0,7.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,2.0,30.0,9.0,0.0,0.0,0.0,0.0,0.0,8.0,157.0,11.0,0.0,0.0,5.72
,,,0.0,3.0,8.0,15.0,,,,9ae5e46e9bd689724080225c3d3e7c0209f516f5,,2017-06-06 10:21:20+02:00,,,,,0.0,handlers/main.yml,,,1.0,6.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,3.0,0.0,0.0,3.32
12.0,12.0,12.0,0.0,18.0,4.0,15.0,0.0,0.0,0.0,21d067c8d060c0310786993bcd9bb7c3f170a4f8,1.0,2017-06-14 12:45:03+02:00,1.0,12.0,12.0,12.0,1.0,meta/main.yml,100.0,5.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.0,2.0,0.0,0.0,4.66
13.0,13.0,13.0,0.0,6.0,4.0,15.0,0.0,0.0,0.0,21d067c8d060c0310786993bcd9bb7c3f170a4f8,1.0,2017-06-14 12:45:03+02:00,1.0,13.0,13.0,13.0,0.0,tasks/main.yml,100.0,8.0,7.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,2.0,30.0,9.0,0.0,0.0,0.0,0.0,0.0,8.0,157.0,11.0,0.0,0.0,5.72
,,,0.0,3.0,4.0,15.0,,,,21d067c8d060c0310786993bcd9bb7c3f170a4f8,,2017-06-14 12:45:03+02:00,,,,,0.0,handlers/main.yml,,,1.0,6.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,3.0,0.0,0.0,3.32
,,,0.0,18.0,1.0,1.0,,,,2423a8418ad7ee1e81bb9ba14664a971df069c65,,2017-07-21 16:33:42+02:00,,,,,1.0,meta/main.yml,,,1.0,18.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.0,2.0,0.0,0.0,4.66
,,,0.0,6.0,1.0,1.0,,,,2423a8418ad7ee1e81bb9ba14664a971df069c65,,2017-07-21 16:33:42+02:00,,,,,0.0,tasks/main.yml,,,7.0,52.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,2.0,30.0,9.0,0.0,0.0,0.0,0.0,0.0,8.0,157.0,11.0,0.0,0.0,5.72
,,,0.0,3.0,1.0,1.0,,,,2423a8418ad7ee1e81bb9ba14664a971df069c65,,2017-07-21 16:33:42+02:00,,,,,0.0,handlers/main.yml,,,1.0,6.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,3.0,0.0,0.0,3.32
,,,0.0,18.0,1.0,1.0,,,,057714d27d36884c7b8437b5f46725d1c39d0d10,,2017-07-26 11:24:48+02:00,,,,,1.0,meta/main.yml,,,1.0,18.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.0,2.0,0.0,0.0,4.66
4.0,1.0,2.0,0.0,7.0,1.0,1.0,1.0,2.0,2.0,057714d27d36884c7b8437b5f46725d1c39d0d10,3.0,2017-07-26 11:24:48+02:00,1.0,2.0,1.0,1.0,0.0,tasks/main.yml,100.0,1.0,7.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,2.0,32.0,9.0,0.0,0.0,0.0,0.0,0.0,8.0,160.0,11.0,0.0,0.0,5.74
,,,0.0,3.0,1.0,1.0,,,,057714d27d36884c7b8437b5f46725d1c39d0d10,,2017-07-26 11:24:48+02:00,,,,,0.0,handlers/main.yml,,,1.0,6.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,3.0,0.0,0.0,3.32
,,,0.0,18.0,0.0,1.0,,,,3c94f2823b054979b3607bf6d5ed2cfadb23ed28,,2017-08-09 12:03:35+02:00,,,,,1.0,meta/main.yml,,,1.0,18.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.0,2.0,0.0,0.0,4.66
,,,0.0,7.0,0.0,1.0,,,,3c94f2823b054979b3607bf6d5ed2cfadb23ed28,,2017-08-09 12:03:35+02:00,,,,,0.0,tasks/main.yml,,,7.0,54.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,2.0,32.0,9.0,0.0,0.0,0.0,0.0,0.0,8.0,160.0,11.0,0.0,0.0,5.74
,,,0.0,3.0,0.0,1.0,,,,3c94f2823b054979b3607bf6d5ed2cfadb23ed28,,2017-08-09 12:03:35+02:00,,,,,0.0,handlers/main.yml,,,1.0,6.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,3.0,0.0,0.0,3.32
,,,0.0,18.0,2.0,5.0,,,,86a784af2e7c90710a963fddadc7285ce9628d14,,2017-09-20 15:19:38+02:00,,,,,1.0,meta/main.yml,,,1.0,18.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.0,2.0,0.0,0.0,4.66
16.0,16.0,16.0,0.0,7.0,2.0,5.0,-13.0,-13.0,-13.0,86a784af2e7c90710a963fddadc7285ce9628d14,1.0,2017-09-20 15:19:38+02:00,1.0,29.0,29.0,29.0,0.0,tasks/main.yml,100.0,8.0,5.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,25.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,115.0,7.0,0.0,0.0,5.75
,,,0.0,3.0,2.0,5.0,,,,86a784af2e7c90710a963fddadc7285ce9628d14,,2017-09-20 15:19:38+02:00,,,,,0.0,handlers/main.yml,,,1.0,6.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,3.0,0.0,0.0,3.32
,,,0.0,18.0,1.0,2.0,,,,8cd8abeda5707adbaae997933583cd7955da529b,,2017-09-26 10:58:29+02:00,,,,,1.0,meta/main.yml,,,1.0,18.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.0,2.0,0.0,0.0,4.66
4.0,4.0,4.0,0.0,8.0,1.0,2.0,2.0,2.0,2.0,8cd8abeda5707adbaae997933583cd7955da529b,1.0,2017-09-26 10:58:29+02:00,1.0,2.0,2.0,2.0,0.0,tasks/main.yml,100.0,3.0,5.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,25.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,117.0,7.0,0.0,0.0,5.67
,,,0.0,3.0,1.0,2.0,,,,8cd8abeda5707adbaae997933583cd7955da529b,,2017-09-26 10:58:29+02:00,,,,,0.0,handlers/main.yml,,,1.0,6.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,3.0,0.0,0.0,3.32
,,,0.0,18.0,1.0,2.0,,,,6ae28d7ba822ee2ae4afff321e1121daf9db5c18,,2017-10-05 21:09:09+02:00,,,,,1.0,meta/main.yml,,,1.0,18.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.0,2.0,0.0,0.0,4.66
3.0,3.0,3.0,0.0,8.0,1.0,2.0,-1.0,-1.0,-1.0,6ae28d7ba822ee2ae4afff321e1121daf9db5c18,1.0,2017-10-05 21:09:09+02:00,1.0,4.0,4.0,4.0,0.0,tasks/main.yml,100.0,3.0,5.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,25.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,117.0,7.0,0.0,0.0,5.65
3.0,2.0,2.0,0.0,5.0,1.0,2.0,-1.0,-2.0,1.0,6ae28d7ba822ee2ae4afff321e1121daf9db5c18,2.0,2017-10-05 21:09:09+02:00,1.0,5.0,2.0,4.0,0.0,handlers/main.yml,100.0,1.5,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,2.0,0.0,0.0,3.28
