approach,f1,mcc,name,pr_auc,precision,recall,roc_auc,std_f1,std_mcc,std_pr_auc,std_precision,std_recall,std_roc_auc
SVM,0.74,0.6193545336,dj-wasabi__ansible-zabbix-proxy,0.8479166667,0.7616666667,0.8466666667,0.8920833333,0.1437898126,0.1849473365,0.0819520947,0.2193487837,0.2441311123,0.1120275574
NB,0.835,0.7341725434,dj-wasabi__ansible-zabbix-proxy,0.899702381,0.8552380952,0.8816666667,0.8583333333,0.173881789,0.2820112746,0.118962544,0.2391140109,0.152834333,0.1613312672
LR,0.7517460317,0.5998431912,dj-wasabi__ansible-zabbix-proxy,0.8352380952,0.7695238095,0.8116666667,0.8704166667,0.1989177065,0.3171200562,0.1618690437,0.2629541746,0.2165448375,0.150928262
RF,0.8238888889,0.7534332514,dj-wasabi__ansible-zabbix-proxy,0.9016666667,0.8616666667,0.8666666667,0.9354166667,0.1524629616,0.1986188479,0.0870863237,0.195512148,0.212916259,0.0739568662
CART,0.8566666667,0.7694266867,dj-wasabi__ansible-zabbix-proxy,0.92125,0.9266666667,0.8283333333,0.8808333333,0.1227463509,0.2309023757,0.0822312542,0.1474222959,0.1760760568,0.1187931208
SVM,0.8485407648,0.8321567938,ansistrano__deploy,0.8938433947,0.8501190476,0.88875,0.9628852911,0.1934306864,0.1936659253,0.1042712349,0.203653527,0.2208376572,0.0512137762
NB,0.7782088745,0.7330288596,ansistrano__deploy,0.8229242408,0.8141666667,0.7795833333,0.9038625681,0.1104243542,0.1359112411,0.0960361361,0.1794880838,0.1302501599,0.0844311694
LR,0.888746115,0.8629987267,ansistrano__deploy,0.9075437915,0.8438690476,0.9620833333,0.9731458288,0.1200185886,0.1525343664,0.096867655,0.170865384,0.0833322917,0.0535189986
RF,0.9065422078,0.8968185889,ansistrano__deploy,0.9333771249,0.9175,0.9329166667,0.9902609087,0.1307537116,0.1285518106,0.0778477734,0.1316534804,0.163405065,0.0266876727
CART,0.9020917971,0.8913665032,ansistrano__deploy,0.9365318868,0.9078571429,0.9233333333,0.9490609365,0.1855198879,0.183974498,0.0886971948,0.1828086183,0.2047966471,0.0997323228
SVM,0.8421052632,0.83376086,dockpack__ansible-vault,0.8881578947,0.8157894737,0.8947368421,0.9577067669,0.3128518333,0.3344218814,0.2317153456,0.3328713326,0.306892205,0.1017124004
NB,0.7109440267,0.6948960155,dockpack__ansible-vault,0.8254385965,0.6837719298,0.8421052632,0.8707706767,0.402831044,0.426267498,0.2585663025,0.426124876,0.3646422753,0.1969483984
LR,0.8245614035,0.815776135,dockpack__ansible-vault,0.8793859649,0.798245614,0.8947368421,0.9332706767,0.3265703591,0.3473775047,0.2382642892,0.3528453572,0.306892205,0.1928364394
RF,0.9298245614,0.9220305624,dockpack__ansible-vault,0.9375,0.9210526316,0.9473684211,0.9661654135,0.2314194028,0.2621009611,0.2136385905,0.244042592,0.2232968783,0.1435479932
CART,0.8947368421,0.8872180451,dockpack__ansible-vault,0.9276315789,0.8947368421,0.8947368421,0.9436090226,0.306892205,0.3296287251,0.2260421387,0.306892205,0.306892205,0.1648143625
SVM,0.85,0.85,DavidWittman__ansible-redis,0.9282142857,0.875,0.85,0.9881944444,0.3068658773,0.3068658773,0.1324123699,0.3112474899,0.3201562119,0.0354846841
NB,0.7116666667,0.6823695467,DavidWittman__ansible-redis,0.7975595238,0.7708333333,0.725,0.8991319444,0.3208106053,0.3607669277,0.2497097167,0.3640770294,0.334477204,0.1406720386
LR,0.9166666667,0.9145497224,DavidWittman__ansible-redis,0.9460714286,0.95,0.925,0.9736111111,0.1443375673,0.1480950321,0.0945309311,0.15,0.1785357107,0.0665942894
RF,0.8816666667,0.8767517299,DavidWittman__ansible-redis,0.9325,0.875,0.925,0.9875,0.2482102603,0.2520488571,0.1245519749,0.2732266052,0.2384848004,0.0544862368
