id,full_name,comments_ratio,commit_frequency,core_contributors,has_ci,has_license,iac_ratio,issue_frequency,repository_size,fixing_commit_count,fixed_file_count,clean_count,defective_count
250416150,PGBlitz/PGBlitz.com,0.0928,863.88,2,False,True,0.1864,0,6937,100,70,45919,1658
51534449,redhat-openstack/infrared,0.0662,112.43,17,False,True,0.825,1.26,45420,267,298,49160,1428
17373313,ceph/ceph-ansible,0.1479,66.79,7,True,True,0.445,4.22,24629,295,267,10188,1090
60802750,CentOS-PaaS-SIG/linchpin,0.104,80.17,5,True,True,0.3756,4.58,41596,113,107,8723,885
38701252,ansible-community/ansible-consul,0.0364,14.2,6,True,True,0.7979,0.66,3098,40,17,1417,564
88211051,redhat-cop/infra-ansible,0.0478,9.2,4,True,True,0.7191,2.26,20001,52,94,9714,343
151536298,valet-sh/valet-sh,0.3323,16.65,2,True,True,0.974,1.23,7495,76,63,13435,342
193971997,bluebanquise/bluebanquise,0.0796,58.76,3,True,True,0.6036,11.88,14436,108,136,596,303
27195864,openstack/openstack-ansible,0.1267,90.79,16,False,True,0.7974,0,45852,124,135,3042,288
173498378,PyratLabs/ansible-role-k3s,0.0504,7.95,2,True,True,0.8617,0.95,1998,17,14,1691,281
47001649,openstax/cnx-deploy,0.0914,41.18,10,True,False,0.5167,0.03,9330,28,20,21399,267
148547478,splunk/splunk-ansible,0.0511,50.81,5,False,False,0.7978,1.27,10194,80,108,1653,257
17628006,ANXS/postgresql,0.2032,6.51,14,True,True,0.6709,5,1345,20,16,169,222
65276738,riemers/ansible-gitlab-runner,0.0592,4.16,18,True,True,0.8864,0.75,2336,24,25,703,216
103666308,pulp/pulp_installer,0.0883,23.13,7,True,True,0.6699,1.89,7097,63,59,1360,204
35729277,sensu/sensu-ansible,0.0425,8.77,4,True,True,0.7903,0.23,3781,12,26,421,191
30925564,UnderGreen/ansible-role-mongodb,0.079,6.15,10,True,True,0.62,0.61,1738,44,29,179,177
85245901,wazuh/wazuh-ansible,0.0592,33.36,8,True,True,0.8402,1.66,6360,98,75,1415,176
179678808,automium/service-kubernetes,0.1121,36.53,2,False,True,0.7204,0.25,2908,59,40,1206,174
133722058,openfun/arnold,0.1398,23.64,4,False,True,0.8629,6.6,5932,12,9,1450,165
24493024,liip/drifter,0.0861,13.03,6,False,True,0.687,0.68,3735,38,42,2703,162
22950800,ansistrano/deploy,0.0479,7.5,8,True,True,0.7273,0.08,1371,20,16,666,162
47439383,rocknsm/rock,0.1158,13.32,5,True,True,0.6056,3.48,5405,58,78,675,154
34840276,elastic/ansible-elasticsearch,0.0315,15.88,6,True,True,0.5714,0.99,3169,61,59,468,151
35403824,StackStorm/ansible-st2,0.058,13.5,6,True,True,0.9057,1.94,2487,59,61,1970,138
40538342,gluster/gdeploy,0.1125,20.33,3,False,True,0.3228,0.87,9596,33,34,2294,133
112915877,ansible-ThoTeam/nexus3-oss,0.0897,11.08,2,True,True,0.4778,1.92,5336,25,12,1318,133
18852165,roots/trellis,0.0587,19.09,4,True,True,0.7232,2.52,3880,49,48,1066,132
24242603,AlbanAndrieu/ansible-jenkins-slave,0.2325,5.11,3,True,True,0.7699,0.03,5836,33,41,174,132
112223013,cloudalchemy/ansible-grafana,0.1277,8.89,3,True,True,0.6818,1.81,1680,10,10,426,129
61397627,tenforwardconsulting/subspace,0.089,6.19,3,True,True,0.4876,0.13,3509,12,12,2544,120
70272278,redhat-cop/casl-ansible,0.1846,7.2,6,False,True,0.7106,6.53,8359,26,34,1745,113
